epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,11186.9,1.56452,1.60473,1.77124,0.50038,0.65141,0.49304,0.21863,1.77718,1.53293,2.10302,0.0004456,0.0004456,0.0004456
58,11383.7,1.57693,1.57287,1.76829,0.49644,0.65007,0.47852,0.2234,1.79741,1.53196,2.12002,0.0004357,0.0004357,0.0004357
59,11578.8,1.54724,1.58457,1.75472,0.49636,0.6473,0.499,0.22648,1.78173,1.51143,2.0923,0.0004258,0.0004258,0.0004258
60,11775.5,1.54501,1.56206,1.74512,0.4996,0.66891,0.50501,0.2261,1.79381,1.47698,2.10106,0.0004159,0.0004159,0.0004159
61,11971.5,1.53194,1.54195,1.74422,0.49492,0.64603,0.47768,0.22337,1.77654,1.48873,2.09424,0.000406,0.000406,0.000406
62,12167.5,1.54382,1.55833,1.75827,0.50567,0.69389,0.50192,0.22462,1.80729,1.48318,2.13878,0.0003961,0.0003961,0.0003961
63,12363.9,1.52687,1.51584,1.74013,0.52882,0.64872,0.50842,0.23091,1.77049,1.4734,2.07356,0.0003862,0.0003862,0.0003862
64,12560.7,1.53289,1.51822,1.74493,0.51506,0.63392,0.50167,0.22976,1.78925,1.46737,2.1105,0.0003763,0.0003763,0.0003763
65,12757.1,1.50596,1.4872,1.72223,0.53604,0.64738,0.51745,0.23859,1.78218,1.44414,2.12276,0.0003664,0.0003664,0.0003664
66,12954.2,1.50622,1.46644,1.7161,0.58113,0.64065,0.53773,0.24835,1.79515,1.41997,2.1147,0.0003565,0.0003565,0.0003565
67,13151.3,1.50321,1.50948,1.71777,0.55652,0.66622,0.53543,0.24509,1.77459,1.43459,2.09572,0.0003466,0.0003466,0.0003466
68,13348,1.47195,1.47215,1.69581,0.53621,0.62719,0.4985,0.23555,1.80097,1.46464,2.13476,0.0003367,0.0003367,0.0003367
69,13544.5,1.46884,1.44282,1.69245,0.53904,0.63122,0.51732,0.24004,1.79414,1.43214,2.12611,0.0003268,0.0003268,0.0003268
70,13740.5,1.468,1.448,1.70124,0.53751,0.64759,0.52743,0.24721,1.77348,1.43728,2.1283,0.0003169,0.0003169,0.0003169
71,13936.3,1.44826,1.42081,1.68653,0.55143,0.67968,0.5312,0.24506,1.7771,1.41718,2.12205,0.000307,0.000307,0.000307
72,14132.4,1.44155,1.40541,1.68066,0.55355,0.64199,0.53145,0.24751,1.80396,1.43525,2.14288,0.0002971,0.0002971,0.0002971
73,14328.8,1.44403,1.42108,1.68206,0.54677,0.68506,0.53214,0.25017,1.79167,1.40818,2.13844,0.0002872,0.0002872,0.0002872
74,14525.3,1.42289,1.38814,1.64936,0.54768,0.65949,0.5395,0.25422,1.78666,1.42193,2.1014,0.0002773,0.0002773,0.0002773
75,14722.1,1.43071,1.40151,1.66253,0.5741,0.6716,0.55601,0.24804,1.76872,1.4323,2.1161,0.0002674,0.0002674,0.0002674
76,14918.6,1.42117,1.36498,1.65496,0.56131,0.68641,0.54756,0.24943,1.81562,1.40761,2.15144,0.0002575,0.0002575,0.0002575
77,15115.4,1.42,1.34546,1.65709,0.56652,0.68775,0.55025,0.25846,1.80551,1.39392,2.14662,0.0002476,0.0002476,0.0002476
78,15312.7,1.41443,1.37605,1.66354,0.5695,0.65276,0.55024,0.25004,1.7962,1.3989,2.14803,0.0002377,0.0002377,0.0002377
79,15509.6,1.40471,1.3594,1.65296,0.5557,0.6716,0.5582,0.25278,1.80949,1.36182,2.14719,0.0002278,0.0002278,0.0002278
80,15706.9,1.39199,1.3081,1.63198,0.57346,0.66227,0.55925,0.26029,1.79381,1.3586,2.1326,0.0002179,0.0002179,0.0002179
81,15903.9,1.36614,1.30839,1.60822,0.58875,0.64065,0.55733,0.26275,1.8037,1.36953,2.15789,0.000208,0.000208,0.000208
82,16101.2,1.38334,1.31102,1.62433,0.58309,0.6393,0.55027,0.25343,1.79417,1.37556,2.13913,0.0001981,0.0001981,0.0001981
83,16298,1.37608,1.32054,1.61697,0.59162,0.64199,0.55714,0.25823,1.78998,1.36294,2.12629,0.0001882,0.0001882,0.0001882
84,16495.2,1.36874,1.29668,1.61366,0.56828,0.6732,0.55908,0.25279,1.80263,1.3791,2.14516,0.0001783,0.0001783,0.0001783
85,16691.7,1.36123,1.26667,1.59816,0.56432,0.67429,0.55665,0.25836,1.79504,1.35634,2.14578,0.0001684,0.0001684,0.0001684
86,16889,1.34304,1.25715,1.60203,0.57219,0.65949,0.55363,0.25469,1.80769,1.36363,2.16691,0.0001585,0.0001585,0.0001585
87,17086.3,1.32429,1.24615,1.5894,0.58283,0.65813,0.5589,0.25642,1.81234,1.35713,2.1766,0.0001486,0.0001486,0.0001486
88,17283.2,1.34443,1.24815,1.59109,0.58158,0.65007,0.55446,0.2642,1.78605,1.35868,2.15735,0.0001387,0.0001387,0.0001387
89,17480.3,1.31579,1.23702,1.58308,0.59915,0.64065,0.56122,0.26218,1.78982,1.34889,2.16356,0.0001288,0.0001288,0.0001288
90,17677.7,1.30747,1.21621,1.57538,0.5812,0.68775,0.5664,0.26689,1.794,1.32339,2.16929,0.0001189,0.0001189,0.0001189
91,17875.1,1.17923,0.94263,1.52106,0.59389,0.65147,0.57159,0.26421,1.79008,1.38397,2.17436,0.000109,0.000109,0.000109
92,18071.4,1.15246,0.88729,1.51426,0.59227,0.67253,0.56203,0.26261,1.80223,1.36344,2.19835,9.91e-05,9.91e-05,9.91e-05
93,18267.2,1.13749,0.86977,1.49598,0.61082,0.64334,0.57019,0.26264,1.81187,1.36507,2.21975,8.92e-05,8.92e-05,8.92e-05
94,18462.2,1.12728,0.85117,1.49116,0.59607,0.65739,0.56743,0.2632,1.81755,1.37238,2.23996,7.93e-05,7.93e-05,7.93e-05
95,18657.8,1.11948,0.83438,1.48095,0.61535,0.64603,0.56989,0.25811,1.82872,1.35589,2.25776,6.94e-05,6.94e-05,6.94e-05
96,18853.1,1.09508,0.82672,1.46331,0.6103,0.65949,0.57077,0.26359,1.82353,1.34318,2.26026,5.95e-05,5.95e-05,5.95e-05
97,19049.6,1.08235,0.81701,1.45289,0.62345,0.63956,0.57299,0.26284,1.8288,1.3521,2.27095,4.96e-05,4.96e-05,4.96e-05
98,19245.6,1.07835,0.80488,1.45418,0.63656,0.62941,0.57224,0.26468,1.83076,1.36332,2.27918,3.97e-05,3.97e-05,3.97e-05
99,19441.4,1.08602,0.80424,1.45235,0.60673,0.66445,0.56893,0.26364,1.83851,1.36323,2.29355,2.98e-05,2.98e-05,2.98e-05
100,19637.6,1.06513,0.79562,1.44469,0.61836,0.64603,0.56555,0.26356,1.83867,1.36104,2.29603,1.99e-05,1.99e-05,1.99e-05
